,Neighbourhood,Venue,Venue_Category,Venue_Basic_Category,Venue_Restaurant_Count,Venue_Steakhouse_Count,Venue Latitude,Venue Longitude,Neighborhood Latitude,Neighborhood Longitude
134,Annex,Koerner Hall,Concert Hall,Concert,0,0,43.667983280307865,-79.3959619437764,43.670337700000005,-79.407117
135,Annex,Her Father's Cider Bar + Kitchen,Beer Bar,Beer,0,0,43.66244824890102,-79.40470324675829,43.670337700000005,-79.407117
136,Annex,El Furniture Warehouse TO,Restaurant,Restaurant,0,0,43.66585168211681,-79.40793828065983,43.670337700000005,-79.407117
137,Annex,Lee's Palace & The Dance Cave,Music Venue,Music,0,0,43.66544538237753,-79.40954187360934,43.670337700000005,-79.407117
138,Annex,Royal Conservatory of Music,Music School,Music,0,0,43.66822758218325,-79.39631143267306,43.670337700000005,-79.407117
139,Annex,L'Unita Restaurant,Italian Restaurant,Restaurant,1,0,43.674387404879205,-79.39648826123504,43.670337700000005,-79.407117
140,Annex,Magic Oven,Pizza Place,Pizza,0,0,43.6748946772507,-79.40699407078071,43.670337700000005,-79.407117
141,Annex,Hodo Kwaja 호도과자,Dessert Shop,Dessert,0,0,43.6642403221846,-79.41557903826563,43.670337700000005,-79.407117
142,Annex,Vermont Square Park,Playground,Playground,0,0,43.67049272376341,-79.41539937385534,43.670337700000005,-79.407117
143,Annex,Sushi On Bloor,Sushi Restaurant,Restaurant,1,0,43.665505045846444,-79.40929569454767,43.670337700000005,-79.407117
144,Annex,George's Deli & BBQ,Deli / Bodega,Deli,0,0,43.664896832155215,-79.41057358529474,43.670337700000005,-79.407117
145,Annex,Jerk King,Caribbean Restaurant,Restaurant,1,0,43.665235046859515,-79.41084249380106,43.670337700000005,-79.407117
146,Annex,Greg's Ice Cream,Ice Cream Shop,Ice,0,0,43.666592244999656,-79.40414690375412,43.670337700000005,-79.407117
147,Annex,Cafe Cancan,French Restaurant,Restaurant,1,0,43.662735486588865,-79.40344738555669,43.670337700000005,-79.407117
148,Annex,Akai Sushi,Sushi Restaurant,Restaurant,1,0,43.66246971191281,-79.40494572728848,43.670337700000005,-79.407117
149,Annex,Just You Sarah & Tom,Gift Shop,Gift,0,0,43.66450137913881,-79.41422966456183,43.670337700000005,-79.407117
150,Annex,Bite & Sip - Pretzels & Smoothies,Bakery,Bakery,0,0,43.6650883880936,-79.41135294600984,43.670337700000005,-79.407117
151,Annex,Almond Butterfly,Bakery,Bakery,0,0,43.66283554072087,-79.40336494731255,43.670337700000005,-79.407117
152,Annex,Miles Nadal Jewish Community Centre,Gym,Gym,0,0,43.66651909762614,-79.40387376211667,43.670337700000005,-79.407117
153,Annex,Karma Co-operative,Grocery Store,Grocery,0,0,43.66818455762173,-79.41450362458382,43.670337700000005,-79.407117
154,Annex,Le Paradis Brasserie Bistro,French Restaurant,Restaurant,1,0,43.67500732033419,-79.40003625111297,43.670337700000005,-79.407117
155,Annex,Equinox Yorkville,Gym,Gym,0,0,43.67122,-79.394963,43.670337700000005,-79.407117
156,Annex,Kula Yoga Studio,Yoga Studio,Yoga,0,0,43.66582016693675,-79.40754079221097,43.670337700000005,-79.407117
157,Annex,5 Elements Espresso,Café,Café,0,0,43.6736953327356,-79.39603742055805,43.670337700000005,-79.407117
